method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
conv_decoder,1.0051790475845337,0.8909575343132019,0.8979865312576294,0.5962003469467163,0.8018654584884644,0.7690966129302979,1.0374778509140015,0.7397777438163757
coord_deeponet,0.9118756055831909,0.9020148515701294,0.8127511143684387,0.6801203489303589,0.914879560470581,0.9246533513069153,0.7331210970878601,0.7175675630569458
coord_mlp,1.3237911462783813,0.8964282870292664,0.9929633140563965,0.7114118933677673,0.9234021902084351,0.9219703078269958,1.5140979290008545,1.099442958831787
gplfr,0.7875787615776062,0.6961178779602051,0.6978994011878967,0.5667399168014526,0.783589780330658,0.7696391344070435,0.6000022292137146,0.6380904912948608
knn,1.4447541236877441,1.317431926727295,1.2735644578933716,0.7476211190223694,0.9740294814109802,0.9296975135803223,0.853394627571106,0.9735067486763
pca_gbt,1.0821243524551392,0.8850519061088562,0.8512558341026306,0.6303596496582031,0.8831031322479248,0.8681239485740662,0.7098767161369324,0.7772526144981384
pca_mlp,1.0135687589645386,0.8963498473167419,0.8091801404953003,0.6168109774589539,0.927740216255188,0.9062680602073669,0.6908493638038635,0.7868077754974365
pca_ridge,1.3151476383209229,1.118369460105896,1.072640061378479,0.7123755812644958,1.1296186447143555,0.9619936943054199,0.8124312162399292,0.9876002073287964
ppca_icm,1.0384708642959595,0.9352042078971863,0.8526973724365234,0.6150582432746887,0.8541409373283386,0.8122640252113342,0.7374749183654785,0.7962794303894043
sfno,0.9460274577140808,0.8713667988777161,0.7868178486824036,0.6293911933898926,0.8322733044624329,0.7938029170036316,0.8240048289299011,0.805059015750885
train_mean,1.7087706327438354,1.558112621307373,1.5342594385147095,0.8613073825836182,1.3765233755111694,1.1639832258224487,1.3553876876831055,1.5786257982254028
