subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,conv_decoder,0,relative_rmse,temperature,0.8853810429573059,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_rmse,specific_humidity_dex,0.8435068130493164,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_rmse,cloud_fraction,0.6051378846168518,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_rmse,u,0.7718861103057861,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_rmse,v,0.7119306325912476,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_rmse,asr,1.009531021118164,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_rmse,olr,0.7282606363296509,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_acc,surface_temperature,1.018730640411377,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_acc,temperature,4.200046062469482,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_acc,specific_humidity_dex,1.0918354988098145,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_acc,cloud_fraction,1.470292329788208,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_acc,u,3.4505016803741455,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_acc,v,1.3025012016296387,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_acc,asr,1.001754641532898,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,shared_planets,conv_decoder,0,relative_acc,olr,1.1488927602767944,results/models/multi-partial/conv_decoder/metrics_shared_planets.json,results/models/multi-partial/conv_decoder/predictions_shared_planets.npz,results/models/multi-partial/conv_decoder/config.json
multi-partial,standard,conv_decoder,1,rmse,surface_temperature,12.908943176269531,,,
multi-partial,standard,conv_decoder,1,rmse,temperature,9.863454437255859,,,
multi-partial,standard,conv_decoder,1,rmse,specific_humidity_dex,0.514927989244461,,,
multi-partial,standard,conv_decoder,1,rmse,cloud_fraction,0.08047343380749225,,,
multi-partial,standard,conv_decoder,1,rmse,u,9.712884020805358,,,
multi-partial,standard,conv_decoder,1,rmse,v,4.119902110099792,,,
multi-partial,standard,conv_decoder,1,rmse,asr,36.768402099609375,,,
multi-partial,standard,conv_decoder,1,rmse,olr,17.92325210571289,,,
multi-partial,standard,conv_decoder,1,acc,surface_temperature,0.9392879605293274,,,
multi-partial,standard,conv_decoder,1,acc,temperature,0.49394050389528277,,,
multi-partial,standard,conv_decoder,1,acc,specific_humidity_dex,0.6601589880883694,,,
multi-partial,standard,conv_decoder,1,acc,cloud_fraction,0.6943460062146187,,,
multi-partial,standard,conv_decoder,1,acc,u,0.6812188446521759,,,
multi-partial,standard,conv_decoder,1,acc,v,0.6819529920816422,,,
multi-partial,standard,conv_decoder,1,acc,asr,0.9932389259338379,,,
multi-partial,standard,conv_decoder,1,acc,olr,0.8704904317855835,,,
multi-partial,standard,conv_decoder,1,ramse,surface_temperature,13.48753833770752,,,
multi-partial,standard,conv_decoder,1,ramse,temperature,10.985716629028321,,,
multi-partial,standard,conv_decoder,1,ramse,specific_humidity_dex,0.5691060781478882,,,
multi-partial,standard,conv_decoder,1,ramse,cloud_fraction,0.09344950392842293,,,
multi-partial,standard,conv_decoder,1,ramse,u,11.660464406013489,,,
multi-partial,standard,conv_decoder,1,ramse,v,4.909903836250305,,,
multi-partial,standard,conv_decoder,1,ramse,asr,39.00423049926758,,,
multi-partial,standard,conv_decoder,1,ramse,olr,19.509450912475586,,,
multi-partial,shared_planets,conv_decoder,1,relative_rmse,surface_temperature,0.9769411087036133,,,
multi-partial,shared_planets,conv_decoder,1,relative_rmse,temperature,0.8580049276351929,,,
multi-partial,shared_planets,conv_decoder,1,relative_rmse,specific_humidity_dex,0.8452984690666199,,,
multi-partial,shared_planets,conv_decoder,1,relative_rmse,cloud_fraction,0.593008816242218,,,
multi-partial,shared_planets,conv_decoder,1,relative_rmse,u,0.7370316982269287,,,
multi-partial,shared_planets,conv_decoder,1,relative_rmse,v,0.7235162854194641,,,
multi-partial,shared_planets,conv_decoder,1,relative_rmse,asr,1.0370941162109375,,,
multi-partial,shared_planets,conv_decoder,1,relative_rmse,olr,0.7361897826194763,,,
multi-partial,shared_planets,conv_decoder,1,relative_acc,surface_temperature,1.0185565948486328,,,
multi-partial,shared_planets,conv_decoder,1,relative_acc,temperature,3.419302463531494,,,
multi-partial,shared_planets,conv_decoder,1,relative_acc,specific_humidity_dex,1.1024959087371826,,,
multi-partial,shared_planets,conv_decoder,1,relative_acc,cloud_fraction,1.453148603439331,,,
multi-partial,shared_planets,conv_decoder,1,relative_acc,u,3.41929030418396,,,
multi-partial,shared_planets,conv_decoder,1,relative_acc,v,1.2187886238098145,,,
multi-partial,shared_planets,conv_decoder,1,relative_acc,asr,1.0009264945983887,,,
multi-partial,shared_planets,conv_decoder,1,relative_acc,olr,1.1435753107070923,,,
multi-partial,standard,conv_decoder,2,rmse,surface_temperature,13.832898139953613,,,
multi-partial,standard,conv_decoder,2,rmse,temperature,10.566980743408203,,,
multi-partial,standard,conv_decoder,2,rmse,specific_humidity_dex,0.5425703763961792,,,
multi-partial,standard,conv_decoder,2,rmse,cloud_fraction,0.08442971855401993,,,
multi-partial,standard,conv_decoder,2,rmse,u,10.757404661178589,,,
multi-partial,standard,conv_decoder,2,rmse,v,4.24576461315155,,,
multi-partial,standard,conv_decoder,2,rmse,asr,36.75337219238281,,,
multi-partial,standard,conv_decoder,2,rmse,olr,18.89510726928711,,,
multi-partial,standard,conv_decoder,2,acc,surface_temperature,0.9119899272918701,,,
multi-partial,standard,conv_decoder,2,acc,temperature,0.4848568022251129,,,
multi-partial,standard,conv_decoder,2,acc,specific_humidity_dex,0.6409690372645855,,,
multi-partial,standard,conv_decoder,2,acc,cloud_fraction,0.6785978943109512,,,
multi-partial,standard,conv_decoder,2,acc,u,0.6530491530895233,,,
multi-partial,standard,conv_decoder,2,acc,v,0.6697886228561402,,,
multi-partial,standard,conv_decoder,2,acc,asr,0.9929709434509277,,,
multi-partial,standard,conv_decoder,2,acc,olr,0.854953944683075,,,
multi-partial,standard,conv_decoder,2,ramse,surface_temperature,14.661564826965332,,,
multi-partial,standard,conv_decoder,2,ramse,temperature,11.753836154937744,,,
multi-partial,standard,conv_decoder,2,ramse,specific_humidity_dex,0.6034230351448059,,,
multi-partial,standard,conv_decoder,2,ramse,cloud_fraction,0.09814915359020233,,,
multi-partial,standard,conv_decoder,2,ramse,u,13.158456468582154,,,
multi-partial,standard,conv_decoder,2,ramse,v,5.074607110023498,,,
multi-partial,standard,conv_decoder,2,ramse,asr,39.149227142333984,,,
multi-partial,standard,conv_decoder,2,ramse,olr,20.379209518432617,,,
multi-partial,shared_planets,conv_decoder,2,relative_rmse,surface_temperature,1.046837329864502,,,
multi-partial,shared_planets,conv_decoder,2,relative_rmse,temperature,0.915734589099884,,,
multi-partial,shared_planets,conv_decoder,2,relative_rmse,specific_humidity_dex,0.856334388256073,,,
multi-partial,shared_planets,conv_decoder,2,relative_rmse,cloud_fraction,0.5961334109306335,,,
multi-partial,shared_planets,conv_decoder,2,relative_rmse,u,0.7603424787521362,,,
multi-partial,shared_planets,conv_decoder,2,relative_rmse,v,0.6982009410858154,,,
multi-partial,shared_planets,conv_decoder,2,relative_rmse,asr,1.024457573890686,,,
multi-partial,shared_planets,conv_decoder,2,relative_rmse,olr,0.7467159032821655,,,
multi-partial,shared_planets,conv_decoder,2,relative_acc,surface_temperature,0.9933946132659912,,,
multi-partial,shared_planets,conv_decoder,2,relative_acc,temperature,4.2497029304504395,,,
multi-partial,shared_planets,conv_decoder,2,relative_acc,specific_humidity_dex,1.076480746269226,,,
multi-partial,shared_planets,conv_decoder,2,relative_acc,cloud_fraction,1.44404137134552,,,
multi-partial,shared_planets,conv_decoder,2,relative_acc,u,3.4593167304992676,,,
